as_of,index_name,code
2023-06-30,zz500,002028
2023-06-30,zz500,002030
2023-06-30,zz500,002032
2023-06-30,zz500,002056
2023-06-30,zz500,002065
2023-06-30,zz500,002078
2023-06-30,zz500,002080
2023-06-30,zz500,002081
2023-06-30,zz500,002092
2023-06-30,zz500,002110
2023-06-30,zz500,002128
2023-06-30,zz500,002131
2023-06-30,zz500,002138
2023-06-30,zz500,002152
2023-06-30,zz500,002153
2023-06-30,zz500,002155
2023-06-30,zz500,002156
2023-06-30,zz500,002183
2023-06-30,zz500,002185
2023-06-30,zz500,002192
2023-06-30,zz500,002195
2023-06-30,zz500,002203
2023-06-30,zz500,002221
2023-06-30,zz500,002223
2023-06-30,zz500,002240
2023-06-30,zz500,002244
2023-06-30,zz500,002249
2023-06-30,zz500,002250
2023-06-30,zz500,002266
2023-06-30,zz500,002268
2023-06-30,zz500,002273
2023-06-30,zz500,002281
2023-06-30,zz500,002294
2023-06-30,zz500,002299
2023-06-30,zz500,002326
2023-06-30,zz500,002340
2023-06-30,zz500,002353
2023-06-30,zz500,002368
2023-06-30,zz500,002372
2023-06-30,zz500,002373
2023-06-30,zz500,002384
2023-06-30,zz500,002385
2023-06-30,zz500,002399
2023-06-30,zz500,002407
2023-06-30,zz500,002408
2023-06-30,zz500,002409
2023-06-30,zz500,002422
2023-06-30,zz500,002423
2023-06-30,zz500,002429
2023-06-30,zz500,002430
2023-06-30,zz500,002432
2023-06-30,zz500,002439
2023-06-30,zz500,002444
2023-06-30,zz500,002463
2023-06-30,zz500,002465
2023-06-30,zz500,002468
2023-06-30,zz500,002487
2023-06-30,zz500,002497
2023-06-30,zz500,002500
2023-06-30,zz500,002505
2023-06-30,zz500,002506
2023-06-30,zz500,002507
2023-06-30,zz500,002508
2023-06-30,zz500,002511
2023-06-30,zz500,002518
2023-06-30,zz500,002531
2023-06-30,zz500,002532
2023-06-30,zz500,002557
2023-06-30,zz500,002563
2023-06-30,zz500,002568
2023-06-30,zz500,002572
2023-06-30,zz500,002595
2023-06-30,zz500,002600
2023-06-30,zz500,002608
2023-06-30,zz500,002624
2023-06-30,zz500,002625
2023-06-30,zz500,002653
2023-06-30,zz500,002670
2023-06-30,zz500,002673
2023-06-30,zz500,002683
2023-06-30,zz500,002690
2023-06-30,zz500,002705
2023-06-30,zz500,002738
2023-06-30,zz500,002739
2023-06-30,zz500,002745
2023-06-30,zz500,002761
2023-06-30,zz500,002791
2023-06-30,zz500,002797
2023-06-30,zz500,002831
2023-06-30,zz500,002850
2023-06-30,zz500,002867
2023-06-30,zz500,002901
2023-06-30,zz500,002925
2023-06-30,zz500,002926
2023-06-30,zz500,002936
2023-06-30,zz500,002939
2023-06-30,zz500,002945
2023-06-30,zz500,002958
2023-06-30,zz500,002966
2023-06-30,zz500,002985
2023-06-30,zz500,003035
2023-06-30,zz500,300001
2023-06-30,zz500,300003
2023-06-30,zz500,300009
2023-06-30,zz500,300012
2023-06-30,zz500,300017
2023-06-30,zz500,300024
2023-06-30,zz500,300026
2023-06-30,zz500,300037
2023-06-30,zz500,300058
2023-06-30,zz500,300070
2023-06-30,zz500,300073
2023-06-30,zz500,300088
2023-06-30,zz500,300115
2023-06-30,zz500,300118
2023-06-30,zz500,300136
2023-06-30,zz500,300144
2023-06-30,zz500,300146
2023-06-30,zz500,300182
2023-06-30,zz500,300212
2023-06-30,zz500,300244
2023-06-30,zz500,300251
2023-06-30,zz500,300253
2023-06-30,zz500,300257
2023-06-30,zz500,300285
2023-06-30,zz500,300296
2023-06-30,zz500,300308
2023-06-30,zz500,300357
2023-06-30,zz500,300363
2023-06-30,zz500,300373
2023-06-30,zz500,300383
2023-06-30,zz500,300390
2023-06-30,zz500,300395
2023-06-30,zz500,300418
2023-06-30,zz500,300438
